Ivy Allen , loan_1 , 12000 , 6600.0 , 0.55 , 7
Ivy Allen , loan_2 , 12000 , 5400.0 , 0.45 , 11
Ivy Allen , loan_3 , 12000 , 6840.0 , 0.57 , 2
Ivy Allen , loan_4 , 12000 , 5880.0 , 0.49 , 7
Ivy Allen , loan_5 , 12000 , 7200.0 , 0.6 , 9
Ivy Allen , loan_6 , 12000 , 6240.0 , 0.52 , 1
Ivy Allen , loan_7 , 12000 , 6720.0 , 0.56 , 6
Ivy Allen , loan_8 , 12000 , 6480.0 , 0.54 , 7
Ivy Allen , loan_9 , 12000 , 6120.0 , 0.51 , 11
Ivy Allen , loan_10 , 12000 , 5880.0 , 0.49 , 4
Ivy Allen , loan_11 , 12000 , 7320.0 , 0.61 , 10
Ivy Allen , loan_12 , 12000 , 7320.0 , 0.61 , 4
Ivy Allen , loan_13 , 12000 , 6240.0 , 0.52 , 1
Ivy Allen , loan_14 , 12000 , 7800.0 , 0.65 , 6
Ivy Allen , loan_15 , 12000 , 6240.0 , 0.52 , 0
Ivy Allen , loan_16 , 12000 , 7080.0 , 0.59 , 5
Ivy Allen , loan_17 , 12000 , 5520.0 , 0.46 , 2
Ivy Allen , loan_18 , 12000 , 6120.0 , 0.51 , 4
Theo Harris , loan_1 , 33000 , 7590.0 , 0.23 , 3
Theo Harris , loan_2 , 33000 , 13200.0 , 0.4 , 1
Theo Harris , loan_3 , 33000 , 10890.0 , 0.33 , 1
Theo Harris , loan_4 , 33000 , 11220.0 , 0.34 , 0
Theo Harris , loan_5 , 33000 , 7920.0 , 0.24 , 0
Theo Harris , loan_6 , 33000 , 8580.0 , 0.26 , 4
Theo Harris , loan_7 , 33000 , 7920.0 , 0.24 , 6
Theo Harris , loan_8 , 33000 , 12210.0 , 0.37 , 2
Theo Harris , loan_9 , 33000 , 7260.0 , 0.22 , 0
Theo Harris , loan_10 , 33000 , 13200.0 , 0.4 , 1
Theo Harris , loan_11 , 33000 , 10230.0 , 0.31 , 0
Theo Harris , loan_12 , 33000 , 10890.0 , 0.33 , 3
Theo Harris , loan_13 , 33000 , 10890.0 , 0.33 , 2
Theo Harris , loan_14 , 33000 , 10230.0 , 0.31 , 1
Theo Harris , loan_15 , 33000 , 12210.0 , 0.37 , 1
Archie Holmes , loan_1 , 33000 , 7920.0 , 0.24 , 1
Archie Holmes , loan_2 , 33000 , 8910.0 , 0.27 , 1
Archie Holmes , loan_3 , 33000 , 10890.0 , 0.33 , 0
Archie Holmes , loan_4 , 33000 , 8250.0 , 0.25 , 4
Archie Holmes , loan_5 , 33000 , 9900.0 , 0.3 , 2
Archie Holmes , loan_6 , 33000 , 8910.0 , 0.27 , 4
Archie Holmes , loan_7 , 33000 , 7590.0 , 0.23 , 2
Archie Holmes , loan_8 , 33000 , 9240.0 , 0.28 , 1
Archie Holmes , loan_9 , 33000 , 12870.0 , 0.39 , 1
Archie Holmes , loan_10 , 33000 , 7920.0 , 0.24 , 3
Archie Holmes , loan_11 , 33000 , 9240.0 , 0.28 , 1
Archie Holmes , loan_12 , 33000 , 8580.0 , 0.26 , 1
Archie Holmes , loan_13 , 33000 , 6600.0 , 0.2 , 3
Archie Holmes , loan_14 , 33000 , 9900.0 , 0.3 , 3
Archie Holmes , loan_15 , 33000 , 6930.0 , 0.21 , 0
Archie Holmes , loan_16 , 33000 , 11880.0 , 0.36 , 1
Daisy Baker , loan_1 , 13000 , 4030.0 , 0.31 , 1
Daisy Baker , loan_2 , 13000 , 3120.0 , 0.24 , 3
Daisy Baker , loan_3 , 13000 , 4940.0 , 0.38 , 0
