Ivy Allen , loan_1 , 12000 , 39600 , 3.3 , 7
Ivy Allen , loan_2 , 12000 , 43200 , 3.6 , 11
Ivy Allen , loan_3 , 12000 , 27360 , 2.28 , 2
Ivy Allen , loan_4 , 12000 , 64680 , 5.39 , 7
Ivy Allen , loan_5 , 12000 , 72000 , 6.0 , 9
Ivy Allen , loan_6 , 12000 , 24960 , 2.08 , 1
Ivy Allen , loan_7 , 12000 , 53760 , 4.48 , 6
Ivy Allen , loan_8 , 12000 , 38880 , 3.24 , 7
Ivy Allen , loan_9 , 12000 , 61200 , 5.1 , 11
Ivy Allen , loan_10 , 12000 , 47040 , 3.92 , 4
Ivy Allen , loan_11 , 12000 , 80520 , 6.71 , 10
Ivy Allen , loan_12 , 12000 , 36600 , 3.05 , 4
Ivy Allen , loan_13 , 12000 , 37440 , 3.12 , 1
Ivy Allen , loan_14 , 12000 , 70200 , 5.85 , 6
Ivy Allen , loan_15 , 12000 , 31200 , 2.6 , 0
Ivy Allen , loan_16 , 12000 , 28320 , 2.36 , 5
Ivy Allen , loan_17 , 12000 , 22080 , 1.84 , 2
Ivy Allen , loan_18 , 12000 , 67320 , 5.61 , 4
Theo Harris , loan_1 , 33000 , 68310 , 2.07 , 3
Theo Harris , loan_2 , 33000 , 118800 , 3.6 , 1
Theo Harris , loan_3 , 33000 , 43560 , 1.32 , 1
Theo Harris , loan_4 , 33000 , 56100 , 1.7 , 0
Theo Harris , loan_5 , 33000 , 55440 , 1.68 , 0
Theo Harris , loan_6 , 33000 , 85800 , 2.6 , 4
Theo Harris , loan_7 , 33000 , 95040 , 2.88 , 6
Theo Harris , loan_8 , 33000 , 134310 , 4.07 , 2
Theo Harris , loan_9 , 33000 , 50820 , 1.54 , 0
Theo Harris , loan_10 , 33000 , 145200 , 4.4 , 1
Theo Harris , loan_11 , 33000 , 61380 , 1.86 , 0
Theo Harris , loan_12 , 33000 , 130680 , 3.96 , 3
Theo Harris , loan_13 , 33000 , 98010 , 2.97 , 2
Theo Harris , loan_14 , 33000 , 51150 , 1.55 , 1
Theo Harris , loan_15 , 33000 , 97680 , 2.96 , 1
Archie Holmes , loan_1 , 33000 , 31680 , 0.96 , 1
Archie Holmes , loan_2 , 33000 , 71280 , 2.16 , 1
Archie Holmes , loan_3 , 33000 , 65340 , 1.98 , 0
Archie Holmes , loan_4 , 33000 , 49500 , 1.5 , 4
Archie Holmes , loan_5 , 33000 , 118800 , 3.6 , 2
Archie Holmes , loan_6 , 33000 , 98010 , 2.97 , 4
Archie Holmes , loan_7 , 33000 , 75900 , 2.3 , 2
Archie Holmes , loan_8 , 33000 , 46200 , 1.4 , 1
Archie Holmes , loan_9 , 33000 , 64350 , 1.95 , 1
Archie Holmes , loan_10 , 33000 , 95040 , 2.88 , 3
Archie Holmes , loan_11 , 33000 , 110880 , 3.36 , 1
Archie Holmes , loan_12 , 33000 , 68640 , 2.08 , 1
Archie Holmes , loan_13 , 33000 , 39600 , 1.2 , 3
Archie Holmes , loan_14 , 33000 , 99000 , 3.0 , 3
Archie Holmes , loan_15 , 33000 , 27720 , 0.84 , 0
Archie Holmes , loan_16 , 33000 , 130680 , 3.96 , 1
Daisy Baker , loan_1 , 13000 , 24180 , 1.86 , 1
Daisy Baker , loan_2 , 13000 , 28080 , 2.16 , 3
Daisy Baker , loan_3 , 13000 , 39520 , 3.04 , 0
Daisy Baker , loan_4 , 13000 , 37440 , 2.88 , 1
Daisy Baker , loan_5 , 13000 , 48360 , 3.72 , 1
Daisy Baker , loan_6 , 13000 , 35880 , 2.76 , 2
Daisy Baker , loan_7 , 13000 , 39780 , 3.06 , 2
Daisy Baker , loan_8 , 13000 , 13000 , 1.0 , 0
Daisy Baker , loan_9 , 13000 , 17680 , 1.36 , 1
Daisy Baker , loan_10 , 13000 , 42900 , 3.3 , 2
Daisy Baker , loan_11 , 13000 , 51480 , 3.96 , 2
Daisy Baker , loan_12 , 13000 , 30940 , 2.38 , 0
Daisy Baker , loan_13 , 13000 , 24570 , 1.89 , 2
Daisy Baker , loan_14 , 13000 , 30030 , 2.31 , 2
Daisy Baker , loan_15 , 13000 , 54600 , 4.2 , 5
Isaac Adams , loan_1 , 25000 , 108500 , 4.34 , 4
Isaac Adams , loan_2 , 25000 , 92000 , 3.68 , 3
Isaac Adams , loan_3 , 25000 , 67500 , 2.7 , 1
Isaac Adams , loan_4 , 25000 , 60000 , 2.4 , 1
Isaac Adams , loan_5 , 25000 , 189000 , 7.56 , 3
Isaac Adams , loan_6 , 25000 , 126000 , 5.04 , 2
Isaac Adams , loan_7 , 25000 , 112000 , 4.48 , 2
Isaac Adams , loan_8 , 25000 , 145750 , 5.83 , 15
Isaac Adams , loan_9 , 25000 , 137500 , 5.5 , 5
Isaac Adams , loan_10 , 25000 , 120000 , 4.8 , 12
Isaac Adams , loan_11 , 25000 , 70500 , 2.82 , 2
Isaac Adams , loan_12 , 25000 , 79500 , 3.18 , 2
Isaac Adams , loan_13 , 25000 , 106000 , 4.24 , 6
Isaac Adams , loan_14 , 25000 , 183000 , 7.32 , 6
Isaac Adams , loan_15 , 25000 , 147500 , 5.9 , 6
Isaac Adams , loan_16 , 25000 , 102000 , 4.08 , 3
Emily Baker , loan_1 , 13000 , 20020 , 1.54 , 2
Emily Baker , loan_2 , 13000 , 21450 , 1.65 , 1
Emily Baker , loan_3 , 13000 , 14040 , 1.08 , 0
Emily Baker , loan_4 , 13000 , 26910 , 2.07 , 2
Emily Baker , loan_5 , 13000 , 45500 , 3.5 , 2
Emily Baker , loan_6 , 13000 , 20800 , 1.6 , 0
Emily Baker , loan_7 , 13000 , 16900 , 1.3 , 4
Emily Baker , loan_8 , 13000 , 21840 , 1.68 , 0
Emily Baker , loan_9 , 13000 , 24960 , 1.92 , 3
Emily Baker , loan_10 , 13000 , 25740 , 1.98 , 0
Emily Baker , loan_11 , 13000 , 60840 , 4.68 , 6
Emily Baker , loan_12 , 13000 , 28600 , 2.2 , 6
Emily Baker , loan_13 , 13000 , 37180 , 2.86 , 2
Emily Baker , loan_14 , 13000 , 50700 , 3.9 , 2
Emily Baker , loan_15 , 13000 , 10400 , 0.8 , 0
Emily Baker , loan_16 , 13000 , 17160 , 1.32 , 0
Emily Baker , loan_17 , 13000 , 31200 , 2.4 , 1
Isabella Burton , loan_1 , 21000 , 48510 , 2.31 , 0
Isabella Burton , loan_2 , 21000 , 41160 , 1.96 , 1
Isabella Burton , loan_3 , 21000 , 37800 , 1.8 , 1
Isabella Burton , loan_4 , 21000 , 58800 , 2.8 , 1
Isabella Burton , loan_5 , 21000 , 32550 , 1.55 , 1
Isabella Burton , loan_6 , 21000 , 71610 , 3.41 , 0
Isabella Burton , loan_7 , 21000 , 85470 , 4.07 , 1
Isabella Burton , loan_8 , 21000 , 36540 , 1.74 , 0
Isabella Burton , loan_9 , 21000 , 22680 , 1.08 , 1
Isabella Burton , loan_10 , 21000 , 75600 , 3.6 , 3
Isabella Burton , loan_11 , 21000 , 40320 , 1.92 , 0
Isabella Burton , loan_12 , 21000 , 31500 , 1.5 , 0
Isabella Burton , loan_13 , 21000 , 21000 , 1.0 , 0
Isabella Burton , loan_14 , 21000 , 30450 , 1.45 , 2
Isabella Burton , loan_15 , 21000 , 31920 , 1.52 , 2
Isabella Burton , loan_16 , 21000 , 39900 , 1.9 , 1
Isabella Burton , loan_17 , 21000 , 26040 , 1.24 , 2
Isabella Burton , loan_18 , 21000 , 67200 , 3.2 , 1
Isabella Burton , loan_19 , 21000 , 98280 , 4.68 , 1
Leo Black , loan_1 , 35000 , 109200 , 3.12 , 3
Leo Black , loan_2 , 35000 , 122850 , 3.51 , 4
Leo Black , loan_3 , 35000 , 109200 , 3.12 , 2
Leo Black , loan_4 , 35000 , 50400 , 1.44 , 1
Leo Black , loan_5 , 35000 , 69300 , 1.98 , 0
Leo Black , loan_6 , 35000 , 65100 , 1.86 , 0
Leo Black , loan_7 , 35000 , 133000 , 3.8 , 1
Leo Black , loan_8 , 35000 , 75950 , 2.17 , 2
Leo Black , loan_9 , 35000 , 72450 , 2.07 , 2
Leo Black , loan_10 , 35000 , 56700 , 1.62 , 1
Leo Black , loan_11 , 35000 , 103950 , 2.97 , 0
Leo Black , loan_12 , 35000 , 75600 , 2.16 , 0
Leo Black , loan_13 , 35000 , 61600 , 1.76 , 2
Leo Black , loan_14 , 35000 , 84000 , 2.4 , 2
Leo Black , loan_15 , 35000 , 154000 , 4.4 , 2
Leo Black , loan_16 , 35000 , 83300 , 2.38 , 0
Theo Burton , loan_1 , 32000 , 103680 , 3.24 , 1
Theo Burton , loan_2 , 32000 , 57600 , 1.8 , 5
