Customer,Loan ID,Date Start,Amount,Date Finish,Duration
Charlie Holmes,loan_1,21-09-2010,65280,21-03-2011,6
Charlie Holmes,loan_2,16-09-2011,73440,16-03-2012,6
Charlie Holmes,loan_3,05-09-2012,163200,05-09-2013,12
Charlie Holmes,loan_4,04-09-2013,69360,04-03-2014,6
Charlie Holmes,loan_5,16-09-2014,48960,16-01-2015,4
Charlie Holmes,loan_6,17-09-2015,73440,17-05-2016,8
Charlie Holmes,loan_7,02-09-2016,122400,02-06-2017,9
Charlie Holmes,loan_8,11-09-2017,71400,11-07-2018,10
Charlie Holmes,loan_9,18-09-2018,108460,18-08-2019,11
Charlie Holmes,loan_10,23-09-2019,51000,23-03-2020,6
Charlie Holmes,loan_11,08-09-2020,47600,08-04-2021,7
Arlo Harris,loan_1,18-08-2010,88320,18-08-2011,12
Arlo Harris,loan_2,11-08-2011,48000,11-02-2012,6
Arlo Harris,loan_3,05-08-2012,72000,05-06-2013,10
Arlo Harris,loan_4,25-08-2013,40800,25-01-2014,5
Arlo Harris,loan_5,13-08-2014,70560,13-05-2015,9
Arlo Harris,loan_6,08-08-2015,52640,08-03-2016,7
Arlo Harris,loan_7,08-08-2016,32800,08-01-2017,5
Arlo Harris,loan_8,18-08-2017,92160,18-08-2018,12
Arlo Harris,loan_9,25-08-2018,51200,25-04-2019,8
Arlo Harris,loan_10,22-08-2019,23680,22-12-2019,4
Arlo Harris,loan_11,06-08-2019,43200,06-02-2020,6
Arlo Harris,loan_12,25-08-2020,72960,25-08-2021,12
Jack Baker,loan_1,14-07-2010,56160,14-01-2011,6
Jack Baker,loan_2,12-07-2011,158730,12-06-2012,11
Jack Baker,loan_3,16-07-2012,32760,16-11-2012,4
Jack Baker,loan_4,09-07-2012,148200,09-05-2013,10
Jack Baker,loan_5,02-07-2013,94380,02-06-2014,11
Jack Baker,loan_6,17-07-2014,84240,17-03-2015,8
Jack Baker,loan_7,02-07-2015,149760,02-07-2016,12
Jack Baker,loan_8,09-07-2016,73710,09-04-2017,9
Jack Baker,loan_9,12-07-2017,50700,12-12-2017,5
Jack Baker,loan_10,13-07-2017,37440,13-11-2017,4
Jack Baker,loan_11,19-07-2017,115440,19-03-2018,8
Jack Baker,loan_12,25-07-2018,71760,25-03-2019,8
Jack Baker,loan_13,23-07-2019,48750,23-12-2019,5
Jack Baker,loan_14,14-07-2019,68640,14-03-2020,8
Jack Baker,loan_15,23-07-2020,84630,23-02-2021,7
Muhammad Holmes,loan_1,03-12-2010,57120,03-08-2011,8
Muhammad Holmes,loan_2,15-12-2011,70840,15-11-2012,11
Muhammad Holmes,loan_3,25-12-2012,88200,25-10-2013,10
Muhammad Holmes,loan_4,24-12-2013,28560,24-04-2014,4
Muhammad Holmes,loan_5,22-12-2014,68320,22-08-2015,8
Muhammad Holmes,loan_6,05-12-2015,39480,05-06-2016,6
Muhammad Holmes,loan_7,15-12-2016,34300,15-05-2017,5
Muhammad Holmes,loan_8,13-12-2017,84000,13-12-2018,12
Muhammad Holmes,loan_9,17-12-2018,42700,17-05-2019,5
Muhammad Holmes,loan_10,04-12-2019,36400,04-04-2020,4
Muhammad Holmes,loan_11,01-12-2020,42840,01-06-2021,6
William White,loan_1,07-11-2010,26000,07-03-2011,4
William White,loan_2,17-11-2011,62500,17-09-2012,10
William White,loan_3,01-11-2012,87500,01-09-2013,10
William White,loan_4,16-11-2013,43750,16-06-2014,7
William White,loan_5,13-11-2014,68000,13-07-2015,8
William White,loan_6,07-11-2015,55000,07-09-2016,10
William White,loan_7,02-11-2016,85250,02-10-2017,11
William White,loan_8,21-11-2017,70000,21-07-2018,8
William White,loan_9,01-11-2018,87500,01-09-2019,10
William White,loan_10,22-11-2019,31000,22-03-2020,4
William White,loan_11,23-11-2020,24000,23-03-2021,4
Jack Harris,loan_1,02-08-2010,25500,02-02-2011,6
Jack Harris,loan_2,15-08-2011,52360,15-07-2012,11
Jack Harris,loan_3,07-08-2012,67320,07-08-2013,12
Jack Harris,loan_4,17-08-2013,22950,17-01-2014,5
