Customer,Loan ID,Date Start,Paid
Elsie Matthews,loan_1,13-01-2010,9180
Elsie Matthews,loan_1,13-02-2010,9180
Elsie Matthews,loan_1,13-04-2010,9180
Elsie Matthews,loan_1,13-07-2010,9180
Elsie Matthews,loan_1,13-09-2010,9180
Elsie Matthews,loan_1,13-10-2010,9180
Elsie Matthews,loan_1,13-11-2010,9180
Elsie Matthews,loan_1,13-02-2011,9180
Elsie Matthews,loan_1,13-03-2011,9180
Elsie Matthews,loan_1,13-04-2011,9180
Elsie Matthews,loan_1,13-05-2011,9180
Elsie Matthews,loan_2,22-01-2011,9180
Elsie Matthews,loan_2,22-02-2011,9180
Elsie Matthews,loan_2,22-03-2011,9180
Elsie Matthews,loan_2,22-05-2011,9180
Elsie Matthews,loan_3,21-01-2012,8500
Elsie Matthews,loan_3,21-02-2012,8500
Elsie Matthews,loan_3,21-04-2012,8500
Elsie Matthews,loan_3,21-05-2012,8500
Elsie Matthews,loan_3,21-06-2012,8500
Elsie Matthews,loan_3,21-07-2012,8500
Elsie Matthews,loan_4,06-03-2013,7140
Elsie Matthews,loan_4,06-04-2013,7140
Elsie Matthews,loan_4,06-06-2013,7140
Elsie Matthews,loan_4,06-07-2013,7140
Elsie Matthews,loan_4,06-08-2013,7140
Elsie Matthews,loan_5,19-01-2014,8840
Elsie Matthews,loan_5,19-02-2014,8840
Elsie Matthews,loan_5,19-04-2014,8840
Elsie Matthews,loan_5,19-06-2014,8840
Elsie Matthews,loan_5,19-08-2014,8840
Elsie Matthews,loan_5,19-09-2014,8840
Elsie Matthews,loan_5,19-10-2014,8840
Elsie Matthews,loan_5,19-12-2014,8840
Elsie Matthews,loan_5,19-01-2015,8840
Elsie Matthews,loan_6,05-01-2015,6460
Elsie Matthews,loan_6,05-04-2015,6460
Elsie Matthews,loan_6,05-05-2015,6460
Elsie Matthews,loan_6,05-07-2015,6460
Elsie Matthews,loan_6,05-08-2015,6460
Elsie Matthews,loan_6,05-09-2015,6460
Elsie Matthews,loan_6,05-10-2015,6460
Elsie Matthews,loan_7,21-01-2016,9350
Elsie Matthews,loan_7,21-02-2016,9350
Elsie Matthews,loan_7,21-03-2016,9350
Elsie Matthews,loan_7,21-04-2016,9350
Elsie Matthews,loan_7,21-06-2016,9350
Elsie Matthews,loan_7,21-07-2016,9350
Elsie Matthews,loan_7,21-08-2016,9350
Elsie Matthews,loan_7,21-09-2016,9350
Elsie Matthews,loan_7,21-10-2016,9350
Elsie Matthews,loan_8,05-03-2017,6290
Elsie Matthews,loan_8,05-05-2017,6290
Elsie Matthews,loan_8,05-07-2017,6290
Elsie Matthews,loan_8,05-09-2017,6290
Elsie Matthews,loan_8,05-10-2017,6290
Elsie Matthews,loan_8,05-12-2017,6290
Elsie Matthews,loan_8,05-01-2018,6290
Elsie Matthews,loan_8,05-02-2018,6290
Elsie Matthews,loan_8,05-03-2018,6290
Elsie Matthews,loan_8,05-05-2018,6290
Elsie Matthews,loan_8,05-06-2018,6290
Elsie Matthews,loan_8,05-08-2018,6290
Elsie Matthews,loan_9,02-01-2018,8330
Elsie Matthews,loan_9,02-02-2018,8330
Elsie Matthews,loan_9,02-04-2018,8330
Elsie Matthews,loan_9,02-05-2018,8330
Elsie Matthews,loan_9,02-07-2018,8330
Elsie Matthews,loan_10,08-01-2019,9350
Elsie Matthews,loan_10,08-02-2019,9350
Elsie Matthews,loan_10,08-03-2019,9350
Elsie Matthews,loan_10,08-05-2019,9350
Elsie Matthews,loan_11,04-01-2020,6120
Elsie Matthews,loan_11,04-02-2020,6120
Elsie Matthews,loan_11,04-03-2020,6120
Elsie Matthews,loan_11,04-04-2020,6120
Elsie Matthews,loan_11,04-05-2020,6120
Elsie Matthews,loan_11,04-06-2020,6120
Elsie Matthews,loan_11,04-08-2020,6120
Elsie Matthews,loan_11,04-10-2020,6120
Freddie Jones,loan_1,16-05-2010,22420
Freddie Jones,loan_1,16-06-2010,22420
Freddie Jones,loan_1,16-07-2010,22420
Freddie Jones,loan_1,16-08-2010,22420
Freddie Jones,loan_1,16-10-2010,22420
Freddie Jones,loan_2,16-04-2010,22420
Freddie Jones,loan_2,16-07-2010,22420
Freddie Jones,loan_2,16-08-2010,22420
Freddie Jones,loan_2,16-10-2010,22420
Freddie Jones,loan_2,16-12-2010,22420
Freddie Jones,loan_2,16-02-2011,22420
Freddie Jones,loan_3,06-04-2010,21280
Freddie Jones,loan_3,06-10-2010,21280
Freddie Jones,loan_3,06-11-2010,21280
Freddie Jones,loan_3,06-12-2010,21280
Freddie Jones,loan_4,14-04-2010,17480
Freddie Jones,loan_4,14-05-2010,17480
Freddie Jones,loan_4,14-06-2010,17480
Freddie Jones,loan_4,14-07-2010,17480
Freddie Jones,loan_4,14-08-2010,17480
Freddie Jones,loan_4,14-11-2010,17480
Freddie Jones,loan_5,24-04-2010,24320
Freddie Jones,loan_5,24-06-2010,24320
Freddie Jones,loan_5,24-07-2010,24320
Freddie Jones,loan_5,24-08-2010,24320
Freddie Jones,loan_5,24-10-2010,24320
Freddie Jones,loan_5,24-11-2010,24320
Freddie Jones,loan_6,13-04-2010,23940
Freddie Jones,loan_6,13-06-2010,23940
Freddie Jones,loan_6,13-07-2010,23940
Freddie Jones,loan_6,13-08-2010,23940
Freddie Jones,loan_6,13-09-2010,23940
Freddie Jones,loan_6,13-10-2010,23940
Freddie Jones,loan_6,13-11-2010,23940
Freddie Jones,loan_6,13-04-2011,23940
Freddie Jones,loan_6,13-05-2011,23940
Freddie Jones,loan_6,13-07-2011,23940
Freddie Jones,loan_7,20-04-2011,19760
Freddie Jones,loan_7,20-06-2011,19760
Freddie Jones,loan_7,20-08-2011,19760
Freddie Jones,loan_7,20-10-2011,19760
Freddie Jones,loan_7,20-12-2011,19760
Freddie Jones,loan_7,20-01-2012,19760
Freddie Jones,loan_7,20-04-2012,19760
Freddie Jones,loan_7,20-05-2012,19760
Freddie Jones,loan_8,18-04-2011,23180
Freddie Jones,loan_8,18-08-2011,23180
Freddie Jones,loan_8,18-09-2011,23180
Freddie Jones,loan_8,18-11-2011,23180
Freddie Jones,loan_8,18-12-2011,23180
Freddie Jones,loan_8,18-01-2012,23180
Freddie Jones,loan_8,18-02-2012,23180
Freddie Jones,loan_9,24-04-2011,17100
Freddie Jones,loan_9,24-06-2011,17100
Freddie Jones,loan_9,24-07-2011,17100
Freddie Jones,loan_9,24-08-2011,17100
Freddie Jones,loan_9,24-10-2011,17100
Freddie Jones,loan_9,24-12-2011,17100
Freddie Jones,loan_9,24-01-2012,17100
Freddie Jones,loan_9,24-02-2012,17100
Freddie Jones,loan_9,24-05-2012,17100
Freddie Jones,loan_9,24-06-2012,17100
Freddie Jones,loan_10,17-04-2012,18240
Freddie Jones,loan_10,17-06-2012,18240
Freddie Jones,loan_10,17-08-2012,18240
Freddie Jones,loan_10,17-12-2012,18240
Freddie Jones,loan_11,19-05-2012,22040
Freddie Jones,loan_11,19-07-2012,22040
Freddie Jones,loan_11,19-08-2012,22040
Freddie Jones,loan_11,19-09-2012,22040
Freddie Jones,loan_11,19-10-2012,22040
Freddie Jones,loan_11,19-11-2012,22040
Freddie Jones,loan_11,19-12-2012,22040
Freddie Jones,loan_11,19-01-2013,22040
Freddie Jones,loan_11,19-02-2013,22040
Freddie Jones,loan_11,19-03-2013,22040
Freddie Jones,loan_11,19-06-2013,22040
Freddie Jones,loan_12,04-04-2013,21280
Freddie Jones,loan_12,04-07-2013,21280
Freddie Jones,loan_12,04-08-2013,21280
Freddie Jones,loan_12,04-10-2013,21280
Freddie Jones,loan_13,01-07-2013,24700
Freddie Jones,loan_13,01-08-2013,24700
Freddie Jones,loan_13,01-09-2013,24700
Freddie Jones,loan_13,01-10-2013,24700
Freddie Jones,loan_13,01-12-2013,24700
Freddie Jones,loan_13,01-01-2014,24700
Freddie Jones,loan_13,01-02-2014,24700
Freddie Jones,loan_14,13-04-2013,17100
Freddie Jones,loan_14,13-08-2013,17100
Freddie Jones,loan_14,13-09-2013,17100
Freddie Jones,loan_14,13-10-2013,17100
Freddie Jones,loan_14,13-11-2013,17100
Freddie Jones,loan_14,13-01-2014,17100
Freddie Jones,loan_14,13-03-2014,17100
Freddie Jones,loan_14,13-04-2014,17100
Freddie Jones,loan_14,13-05-2014,17100
Freddie Jones,loan_14,13-06-2014,17100
Freddie Jones,loan_15,25-05-2014,22040
Freddie Jones,loan_15,25-06-2014,22040
Freddie Jones,loan_15,25-08-2014,22040
Freddie Jones,loan_15,25-09-2014,22040
Freddie Jones,loan_15,25-10-2014,22040
Freddie Jones,loan_15,25-03-2015,22040
Freddie Jones,loan_15,25-07-2015,22040
Freddie Jones,loan_15,25-08-2015,22040
Freddie Jones,loan_16,16-04-2014,17480
Freddie Jones,loan_16,16-06-2014,17480
Freddie Jones,loan_16,16-08-2014,17480
Freddie Jones,loan_16,16-09-2014,17480
Freddie Jones,loan_16,16-11-2014,17480
Freddie Jones,loan_16,16-12-2014,17480
Freddie Jones,loan_16,16-01-2015,17480
Freddie Jones,loan_16,16-03-2015,17480
Freddie Jones,loan_16,16-08-2015,17480
Freddie Jones,loan_16,16-11-2015,17480
Freddie Jones,loan_16,16-12-2015,17480
Freddie Jones,loan_17,12-06-2015,17100
Freddie Jones,loan_17,12-07-2015,17100
Freddie Jones,loan_17,12-08-2015,17100
Freddie Jones,loan_17,12-11-2015,17100
Freddie Jones,loan_17,12-12-2015,17100
Freddie Jones,loan_17,12-01-2016,17100
Freddie Jones,loan_17,12-03-2016,17100
Freddie Jones,loan_17,12-06-2016,17100
Freddie Jones,loan_17,12-07-2016,17100
Freddie Jones,loan_17,12-10-2016,17100
Freddie Jones,loan_18,18-06-2016,21280
Freddie Jones,loan_18,18-07-2016,21280
Freddie Jones,loan_18,18-09-2016,21280
Freddie Jones,loan_18,18-11-2016,21280
Freddie Jones,loan_18,18-12-2016,21280
Freddie Jones,loan_18,18-02-2017,21280
Freddie Jones,loan_19,22-04-2016,20140
Freddie Jones,loan_19,22-05-2016,20140
Freddie Jones,loan_19,22-06-2016,20140
Freddie Jones,loan_19,22-08-2016,20140
