Customer,Loan ID,Date Start,Amount,Date Finish,Duration
Ivy Allen,loan_1,05-07-2010,39600,05-01-2011,6
Ivy Allen,loan_2,15-01-2011,43200,15-09-2011,8
Ivy Allen,loan_3,14-09-2011,27360,14-01-2012,4
Ivy Allen,loan_4,06-01-2012,64680,06-12-2012,11
Ivy Allen,loan_5,15-12-2012,72000,15-10-2013,10
Ivy Allen,loan_6,14-10-2013,24960,14-02-2014,4
Ivy Allen,loan_7,09-02-2014,53760,09-10-2014,8
Ivy Allen,loan_8,06-10-2014,38880,06-04-2015,6
Ivy Allen,loan_9,05-04-2015,61200,05-02-2016,10
Ivy Allen,loan_10,05-02-2016,47040,05-10-2016,8
Ivy Allen,loan_11,20-10-2016,80520,20-09-2017,11
Ivy Allen,loan_12,03-09-2017,36600,03-02-2018,5
Ivy Allen,loan_13,10-02-2018,37440,10-08-2018,6
Ivy Allen,loan_14,17-08-2018,70200,17-05-2019,9
Ivy Allen,loan_15,03-05-2019,31200,03-10-2019,5
Ivy Allen,loan_16,12-10-2019,28320,12-02-2020,4
Ivy Allen,loan_17,24-02-2020,22080,24-06-2020,4
Ivy Allen,loan_18,17-06-2020,67320,17-05-2021,11
Theo Harris,loan_1,18-12-2010,68310,18-09-2011,9
Theo Harris,loan_2,06-09-2011,118800,06-06-2012,9
Theo Harris,loan_3,25-06-2012,43560,25-10-2012,4
Theo Harris,loan_4,04-10-2012,56100,04-03-2013,5
Theo Harris,loan_5,23-03-2013,55440,23-10-2013,7
Theo Harris,loan_6,04-10-2013,85800,04-08-2014,10
Theo Harris,loan_7,09-08-2014,95040,09-08-2015,12
Theo Harris,loan_8,20-08-2015,134310,20-07-2016,11
Theo Harris,loan_9,02-07-2016,50820,02-02-2017,7
Theo Harris,loan_10,08-02-2017,145200,08-01-2018,11
Theo Harris,loan_11,03-01-2018,61380,03-07-2018,6
Theo Harris,loan_12,24-07-2018,130680,24-07-2019,12
Theo Harris,loan_13,20-07-2019,98010,20-04-2020,9
Theo Harris,loan_14,03-04-2020,51150,03-09-2020,5
Theo Harris,loan_15,10-09-2020,97680,10-05-2021,8
Archie Holmes,loan_1,11-10-2010,31680,11-02-2011,4
Archie Holmes,loan_2,20-02-2011,71280,20-10-2011,8
Archie Holmes,loan_3,24-10-2011,65340,24-04-2012,6
Archie Holmes,loan_4,20-04-2012,49500,20-10-2012,6
Archie Holmes,loan_5,13-10-2012,118800,13-10-2013,12
Archie Holmes,loan_6,21-10-2013,98010,21-09-2014,11
Archie Holmes,loan_7,07-09-2014,75900,07-07-2015,10
Archie Holmes,loan_8,20-07-2015,46200,20-12-2015,5
Archie Holmes,loan_9,10-12-2015,64350,10-05-2016,5
Archie Holmes,loan_10,15-05-2016,95040,15-05-2017,12
Archie Holmes,loan_11,20-05-2017,110880,20-05-2018,12
Archie Holmes,loan_12,11-05-2018,68640,11-01-2019,8
Archie Holmes,loan_13,08-01-2019,39600,08-07-2019,6
Archie Holmes,loan_14,04-07-2019,99000,04-05-2020,10
Archie Holmes,loan_15,10-05-2020,27720,10-09-2020,4
Archie Holmes,loan_16,10-09-2020,130680,10-08-2021,11
Daisy Baker,loan_1,20-07-2010,24180,20-01-2011,6
Daisy Baker,loan_2,21-01-2011,28080,21-10-2011,9
Daisy Baker,loan_3,06-10-2011,39520,06-06-2012,8
Daisy Baker,loan_4,11-06-2012,37440,11-03-2013,9
Daisy Baker,loan_5,06-03-2013,48360,06-03-2014,12
Daisy Baker,loan_6,08-03-2014,35880,08-03-2015,12
Daisy Baker,loan_7,08-03-2015,39780,08-12-2015,9
Daisy Baker,loan_8,11-12-2015,13000,11-04-2016,4
Daisy Baker,loan_9,05-04-2016,17680,05-08-2016,4
Daisy Baker,loan_10,15-08-2016,42900,15-06-2017,10
Daisy Baker,loan_11,10-06-2017,51480,10-06-2018,12
Daisy Baker,loan_12,23-06-2018,30940,23-01-2019,7
Daisy Baker,loan_13,12-01-2019,24570,12-08-2019,7
Daisy Baker,loan_14,15-08-2019,30030,15-03-2020,7
Daisy Baker,loan_15,24-03-2020,54600,24-03-2021,12
Isaac Adams,loan_1,20-01-2010,108500,20-08-2010,7
Isaac Adams,loan_2,23-08-2010,92000,23-04-2011,8
Isaac Adams,loan_3,08-04-2011,67500,08-09-2011,5
Isaac Adams,loan_4,13-09-2011,60000,13-01-2012,4
Isaac Adams,loan_5,01-01-2012,189000,01-01-2013,12
Isaac Adams,loan_6,15-01-2013,126000,15-09-2013,8
Isaac Adams,loan_7,22-09-2013,112000,22-05-2014,8
Isaac Adams,loan_8,01-05-2014,145750,01-04-2015,11
Isaac Adams,loan_9,09-04-2015,137500,09-03-2016,11
Isaac Adams,loan_10,21-03-2016,120000,21-01-2017,10
Isaac Adams,loan_11,10-01-2017,70500,10-07-2017,6
Isaac Adams,loan_12,18-07-2017,79500,18-01-2018,6
Isaac Adams,loan_13,14-01-2018,106000,14-09-2018,8
Isaac Adams,loan_14,25-09-2018,183000,25-09-2019,12
Isaac Adams,loan_15,21-09-2019,147500,21-07-2020,10
Isaac Adams,loan_16,09-07-2020,102000,09-03-2021,8
Emily Baker,loan_1,10-07-2010,20020,10-02-2011,7
Emily Baker,loan_2,13-02-2011,21450,13-07-2011,5
Emily Baker,loan_3,12-07-2011,14040,12-11-2011,4
Emily Baker,loan_4,05-11-2011,26910,05-08-2012,9
Emily Baker,loan_5,17-08-2012,45500,17-06-2013,10
Emily Baker,loan_6,25-06-2013,20800,25-10-2013,4
Emily Baker,loan_7,25-10-2013,16900,25-03-2014,5
Emily Baker,loan_8,13-03-2014,21840,13-11-2014,8
Emily Baker,loan_9,22-11-2014,24960,22-07-2015,8
Emily Baker,loan_10,11-07-2015,25740,11-04-2016,9
Emily Baker,loan_11,12-04-2016,60840,12-04-2017,12
Emily Baker,loan_12,21-04-2017,28600,21-02-2018,10
Emily Baker,loan_13,20-02-2018,37180,20-01-2019,11
Emily Baker,loan_14,14-01-2019,50700,14-11-2019,10
Emily Baker,loan_15,01-11-2019,10400,01-03-2020,4
Emily Baker,loan_16,04-03-2020,17160,04-09-2020,6
