Customer,Loan ID,Date Start,Paid
Ivy Allen,loan_1,05-08-2010,6600
Ivy Allen,loan_1,05-09-2010,6600
Ivy Allen,loan_1,05-10-2010,0
Ivy Allen,loan_1,05-11-2010,0
Ivy Allen,loan_1,05-12-2010,0
Ivy Allen,loan_1,05-01-2011,0
Ivy Allen,loan_1,05-02-2011,0
Ivy Allen,loan_1,05-03-2011,6600
Ivy Allen,loan_1,05-04-2011,0
Ivy Allen,loan_1,05-05-2011,6600
Ivy Allen,loan_1,05-06-2011,6600
Ivy Allen,loan_1,05-07-2011,0
Ivy Allen,loan_1,05-08-2011,6600
Ivy Allen,loan_2,15-02-2011,0
Ivy Allen,loan_2,15-03-2011,0
Ivy Allen,loan_2,15-04-2011,0
Ivy Allen,loan_2,15-05-2011,5400
Ivy Allen,loan_2,15-06-2011,0
Ivy Allen,loan_2,15-07-2011,0
Ivy Allen,loan_2,15-08-2011,5400
Ivy Allen,loan_2,15-09-2011,5400
Ivy Allen,loan_2,15-10-2011,0
Ivy Allen,loan_2,15-11-2011,0
Ivy Allen,loan_2,15-12-2011,5400
Ivy Allen,loan_2,15-01-2012,0
Ivy Allen,loan_2,15-02-2012,5400
Ivy Allen,loan_2,15-03-2012,0
Ivy Allen,loan_2,15-04-2012,0
Ivy Allen,loan_2,15-05-2012,5400
Ivy Allen,loan_2,15-06-2012,5400
Ivy Allen,loan_2,15-07-2012,0
Ivy Allen,loan_2,15-08-2012,5400
Ivy Allen,loan_3,14-10-2011,6840
Ivy Allen,loan_3,14-11-2011,0
Ivy Allen,loan_3,14-12-2011,6840
Ivy Allen,loan_3,14-01-2012,0
Ivy Allen,loan_3,14-02-2012,6840
Ivy Allen,loan_3,14-03-2012,6840
Ivy Allen,loan_4,06-02-2012,0
Ivy Allen,loan_4,06-03-2012,5880
Ivy Allen,loan_4,06-04-2012,5880
Ivy Allen,loan_4,06-05-2012,0
Ivy Allen,loan_4,06-06-2012,0
Ivy Allen,loan_4,06-07-2012,5880
Ivy Allen,loan_4,06-08-2012,5880
Ivy Allen,loan_4,06-09-2012,0
Ivy Allen,loan_4,06-10-2012,5880
Ivy Allen,loan_4,06-11-2012,0
Ivy Allen,loan_4,06-12-2012,5880
Ivy Allen,loan_4,06-01-2013,5880
Ivy Allen,loan_4,06-02-2013,0
Ivy Allen,loan_4,06-03-2013,5880
Ivy Allen,loan_4,06-04-2013,5880
Ivy Allen,loan_4,06-05-2013,0
Ivy Allen,loan_4,06-06-2013,5880
Ivy Allen,loan_4,06-07-2013,5880
Ivy Allen,loan_5,15-01-2013,0
Ivy Allen,loan_5,15-02-2013,0
Ivy Allen,loan_5,15-03-2013,7200
Ivy Allen,loan_5,15-04-2013,7200
Ivy Allen,loan_5,15-05-2013,0
Ivy Allen,loan_5,15-06-2013,0
Ivy Allen,loan_5,15-07-2013,7200
Ivy Allen,loan_5,15-08-2013,7200
Ivy Allen,loan_5,15-09-2013,7200
Ivy Allen,loan_5,15-10-2013,7200
Ivy Allen,loan_5,15-11-2013,0
Ivy Allen,loan_5,15-12-2013,0
Ivy Allen,loan_5,15-01-2014,7200
Ivy Allen,loan_5,15-02-2014,7200
Ivy Allen,loan_5,15-03-2014,0
Ivy Allen,loan_5,15-04-2014,0
Ivy Allen,loan_5,15-05-2014,0
Ivy Allen,loan_5,15-06-2014,7200
Ivy Allen,loan_5,15-07-2014,7200
Ivy Allen,loan_6,14-11-2013,6240
Ivy Allen,loan_6,14-12-2013,0
Ivy Allen,loan_6,14-01-2014,6240
Ivy Allen,loan_6,14-02-2014,6240
